Month,Region,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,europe-west1,40523.93,0.00,-10510.75,-1703.93,28309.255049,28309.26
2026-02,europe,8665.76,0.00,0.00,0.00,8665.763709,8665.76
2026-02,europe-west3,5904.54,0.00,-2481.92,-79.44,3343.180286,3343.18
2026-02,eu,2601.07,0.00,0.00,0.00,2601.067154,2601.07
2026-02,us,1557.28,0.00,0.00,0.00,1557.279668,1557.28
2026-02,us-central1,1154.56,0.00,0.00,-1.34,1153.216472,1153.22
2026-02,global,182.65,0.00,0.00,0.00,182.651106,182.65
2026-02,europe-north1,125.96,0.00,0.00,0.00,125.958451,125.96
2026-02,europe-west9,40.26,0.00,0.00,0.00,40.256983,40.26
2026-02,,6.76,0.00,0.00,0.00,6.760000,6.76
2026-02,asia-east1,2.40,0.00,0.00,0.00,2.404605,2.40
2026-02,us-central2,2.40,0.00,0.00,0.00,2.398715,2.40
2026-02,us-east1,2.39,0.00,0.00,0.00,2.392345,2.39
2026-02,us-west1,2.36,0.00,0.00,0.00,2.362008,2.36
2026-02,europe-west4,2.06,0.00,0.00,0.00,2.055271,2.06
2026-02,asia-east2,0.06,0.00,0.00,0.00,0.055703,0.06
2026-02,asia-southeast1,0.03,0.00,0.00,0.00,0.033825,0.03
2026-02,europe-west2,0.03,0.00,0.00,0.00,0.030692,0.03
2026-02,europe-west12,0.00,0.00,0.00,0.00,0.001319,0.00
2026-02,europe-west6,0.00,0.00,0.00,0.00,0.000112,0.00
2026-02,us-south1,0.00,0.00,0.00,0.00,0.000110,0.00
2026-02,us-east4,0.00,0.00,0.00,0.00,0.000041,0.00
2026-02,us-west2,0.00,0.00,0.00,0.00,0.000029,0.00
2026-02,us-east5,0.00,0.00,0.00,0.00,0.000023,0.00
2026-02,europe-north2,0.00,0.00,0.00,0.00,0.000021,0.00
2026-02,asia-south1,0.00,0.00,0.00,0.00,0.000018,0.00
2026-02,asia-southeast2,0.00,0.00,0.00,0.00,0.000016,0.00
2026-02,australia-southeast1,0.00,0.00,0.00,0.00,0.000010,0.00
2026-02,europe-central2,0.00,0.00,0.00,0.00,0.000007,0.00
2026-02,asia-northeast1,0.00,0.00,0.00,0.00,0.000006,0.00
2026-02,asia-south2,0.00,0.00,0.00,0.00,0.000005,0.00
2026-02,asia-northeast3,0.00,0.00,0.00,0.00,0.000004,0.00
2026-02,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000003,0.00
2026-02,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2026-02,asia-southeast3,0.00,0.00,0.00,0.00,0.000001,0.00
2026-02,europe-west8,0.00,0.00,0.00,0.00,0.000001,0.00
2026-02,us-west8,0.00,0.00,0.00,0.00,0.000001,0.00
2026-02,europe-west10,0.00,0.00,0.00,0.00,0.000000,0.00
2026-01,europe-west1,44487.31,0.00,-11603.54,-1938.45,30945.311349,30945.31
2026-01,europe,8653.28,0.00,0.00,0.00,8653.277958,8653.28
2026-01,europe-west3,6677.83,0.00,-2779.95,-131.68,3766.195608,3766.20
2026-01,eu,2661.23,0.00,0.00,0.00,2661.230230,2661.23
2026-01,us,1638.25,0.00,0.00,0.00,1638.253032,1638.25
2026-01,us-central1,1228.03,0.00,0.00,-1.49,1226.544967,1226.54
2026-01,global,207.13,0.00,0.00,0.00,207.126899,207.13
2026-01,europe-north1,125.96,0.00,0.00,0.00,125.958232,125.96
2026-01,europe-west9,41.87,0.00,0.00,0.00,41.867355,41.87
2026-01,,7.80,0.00,0.00,0.00,7.800000,7.80
2026-01,asia-east1,2.32,0.00,0.00,0.00,2.319619,2.32
2026-01,us-central2,2.31,0.00,0.00,0.00,2.314158,2.31
2026-01,us-east1,2.30,0.00,0.00,0.00,2.303329,2.30
2026-01,us-west1,2.26,0.00,0.00,0.00,2.262675,2.26
2026-01,europe-west4,1.90,0.00,0.00,0.00,1.900356,1.90
2026-01,asia-east2,0.08,0.00,0.00,0.00,0.083268,0.08
2026-01,europe-west2,0.04,0.00,0.00,0.00,0.041818,0.04
2026-01,europe-west12,0.00,0.00,0.00,0.00,0.001749,0.00
2026-01,europe-west6,0.00,0.00,0.00,0.00,0.000194,0.00
2026-01,us-east4,0.00,0.00,0.00,0.00,0.000176,0.00
2026-01,us-west2,0.00,0.00,0.00,0.00,0.000141,0.00
2026-01,europe-central2,0.00,0.00,0.00,0.00,0.000114,0.00
2026-01,europe-north2,0.00,0.00,0.00,0.00,0.000096,0.00
2026-01,europe-west8,0.00,0.00,0.00,0.00,0.000095,0.00
2026-01,asia-southeast1,0.00,0.00,0.00,0.00,0.000081,0.00
2026-01,asia-south2,0.00,0.00,0.00,0.00,0.000038,0.00
2026-01,asia-northeast1,0.00,0.00,0.00,0.00,0.000014,0.00
2026-01,asia-south1,0.00,0.00,0.00,0.00,0.000010,0.00
2026-01,southamerica-east1,0.00,0.00,0.00,0.00,0.000007,0.00
2026-01,us-east5,0.00,0.00,0.00,0.00,0.000006,0.00
2026-01,us-south1,0.00,0.00,0.00,0.00,0.000005,0.00
2026-01,australia-southeast1,0.00,0.00,0.00,0.00,0.000003,0.00
2026-01,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000003,0.00
2026-01,us-east7,0.00,0.00,0.00,0.00,0.000002,0.00
2026-01,us-west8,0.00,0.00,0.00,0.00,0.000002,0.00
2026-01,asia-northeast3,0.00,0.00,0.00,0.00,0.000001,0.00
2026-01,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2026-01,northamerica-northeast1,0.00,0.00,0.00,0.00,0.000001,0.00
2026-01,asia-northeast2,0.00,0.00,0.00,0.00,0.000000,0.00
2026-01,asia-southeast2,0.00,0.00,0.00,0.00,0.000000,0.00
2026-01,europe-west10,0.00,0.00,0.00,0.00,0.000000,0.00
2026-01,southamerica-west1,0.00,0.00,0.00,0.00,0.000000,0.00
2025-12,europe-west1,44582.62,0.00,-12420.87,-1401.72,30760.026896,30760.03
2025-12,europe,8954.05,0.00,0.00,0.00,8954.048143,8954.05
2025-12,europe-west3,7099.75,0.00,-2884.88,-80.86,4134.018808,4134.02
2025-12,eu,2673.20,0.00,0.00,0.00,2673.200744,2673.20
2025-12,us,1563.70,0.00,0.00,0.00,1563.697021,1563.70
2025-12,us-central1,1227.24,0.00,0.00,-1.49,1225.747081,1225.75
2025-12,global,174.21,0.00,0.00,0.00,174.211943,174.21
2025-12,europe-north1,125.96,0.00,0.00,0.00,125.958247,125.96
2025-12,europe-west9,41.37,0.00,0.00,0.00,41.367571,41.37
2025-12,,7.02,0.00,0.00,0.00,7.020000,7.02
2025-12,europe-west4,2.52,0.00,0.00,0.00,2.521434,2.52
2025-12,asia-east1,2.42,0.00,0.00,0.00,2.416875,2.42
2025-12,us-central2,2.22,0.00,0.00,0.00,2.217250,2.22
2025-12,us-east1,2.20,0.00,0.00,0.00,2.201154,2.20
2025-12,us-west1,2.17,0.00,0.00,0.00,2.174199,2.17
2025-12,europe-west2,0.07,0.00,0.00,0.00,0.068174,0.07
2025-12,europe-west12,0.00,0.00,0.00,0.00,0.002822,0.00
2025-12,europe-central2,0.00,0.00,0.00,0.00,0.000618,0.00
2025-12,us-east4,0.00,0.00,0.00,0.00,0.000154,0.00
2025-12,us-east7,0.00,0.00,0.00,0.00,0.000119,0.00
2025-12,asia-southeast1,0.00,0.00,0.00,0.00,0.000093,0.00
2025-12,europe-west6,0.00,0.00,0.00,0.00,0.000074,0.00
2025-12,europe-north2,0.00,0.00,0.00,0.00,0.000054,0.00
2025-12,australia-southeast1,0.00,0.00,0.00,0.00,0.000046,0.00
2025-12,asia-northeast1,0.00,0.00,0.00,0.00,0.000041,0.00
2025-12,us-west2,0.00,0.00,0.00,0.00,0.000038,0.00
2025-12,asia-east2,0.00,0.00,0.00,0.00,0.000025,0.00
2025-12,us-east5,0.00,0.00,0.00,0.00,0.000018,0.00
2025-12,asia-south1,0.00,0.00,0.00,0.00,0.000012,0.00
2025-12,europe-west8,0.00,0.00,0.00,0.00,0.000008,0.00
2025-12,asia-south2,0.00,0.00,0.00,0.00,0.000008,0.00
2025-12,europe-southwest1,0.00,0.00,0.00,0.00,0.000005,0.00
2025-12,southamerica-west1,0.00,0.00,0.00,0.00,0.000003,0.00
2025-12,southamerica-east1,0.00,0.00,0.00,0.00,0.000003,0.00
2025-12,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000003,0.00
2025-12,asia-southeast3,0.00,0.00,0.00,0.00,0.000002,0.00
2025-12,asia-northeast3,0.00,0.00,0.00,0.00,0.000001,0.00
2025-12,africa-south1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-12,us-south1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-12,australia-southeast2,0.00,0.00,0.00,0.00,0.000000,0.00
2025-11,europe-west1,46321.46,0.00,-15296.12,-1002.45,30022.893864,30022.89
2025-11,europe,9019.89,0.00,0.00,0.00,9019.891782,9019.89
2025-11,europe-west3,8013.67,0.00,-3281.65,-47.92,4684.100736,4684.10
2025-11,eu,2635.00,0.00,0.00,0.00,2634.997831,2635.00
2025-11,us,1447.52,0.00,0.00,0.00,1447.524766,1447.52
2025-11,us-central1,1183.34,0.00,0.00,-1.44,1181.900207,1181.90
2025-11,global,182.26,0.00,0.00,0.00,182.257186,182.26
2025-11,europe-north1,125.96,0.00,0.00,0.00,125.958347,125.96
