Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,Cloud Storage,95FF-2EF5-5EA1,Standard Storage Europe Multi-region,EC40-8747-D6FF,"682,556.223",gibibyte month,5895.13,0.00,0.00,0.00,5895.131871,5895.13
2026-02,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in EMEA,9431-52B1-2C4F,"665,601.491",hour,7714.98,0.00,-3672.55,-892.14,3150.291160,3150.29
2026-02,Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,"54,063.781",gibibyte month,3063.61,0.00,0.00,0.00,3063.611381,3063.61
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: Cpu in EMEA for 1 Year,4F49-1FC5-D994,"338,689.12",hour,2473.22,0.00,0.00,0.00,2473.220558,2473.22
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Extended support vCPU v10 in Belgium,376F-C88F-B033,"45,696",hour,2132.48,0.00,0.00,0.00,2132.480000,2132.48
2026-02,Compute Engine,6F81-5844-456A,Storage PD Snapshot in European Union,9ECE-16D9-A2B4,"81,893.43",gibibyte month,2047.33,0.00,0.00,0.00,2047.331098,2047.33
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - vCPU in EMEA,84B5-2F8B-3A6D,"64,512",hour,1776.23,0.00,0.00,0.00,1776.230400,1776.23
2026-02,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in EMEA,39F4-0112-6F39,"2,866,295.607",gibibyte hour,4453.26,0.00,-2273.41,-484.78,1695.068990,1695.07
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: N2 Cpu in EMEA for 1 Year,A121-1D02-4CFA,"214,368.709",hour,1565.39,0.00,0.00,0.00,1565.391487,1565.39
2026-02,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,"9,620.461",gibibyte,1553.51,0.00,0.00,0.00,1553.508977,1553.51
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: Ram in EMEA for 1 Year,0FCC-C885-6989,"1,509,316.991",gibibyte hour,1477.12,0.00,0.00,0.00,1477.117936,1477.12
