Month,Project name,Project ID,Project number,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,Project 001,project-001,000000000001,29678.61,0.00,-5322.75,-900.64,23455.222508,23455.22
2026-02,Project 002,project-002,000000000002,8899.29,0.00,-1387.37,-214.87,7297.056716,7297.06
2026-02,Project 003,project-003,000000000003,4806.33,0.00,-1363.93,-207.13,3235.269508,3235.27
2026-02,Project 004,project-004,000000000004,4964.96,0.00,-1877.73,-48.62,3038.614501,3038.61
2026-02,Project 005,project-005,000000000005,4068.67,0.00,-988.83,-184.11,2895.727136,2895.73
2026-02,Project 006,project-006,000000000006,3065.65,0.00,-925.12,-84.46,2056.063110,2056.06
2026-02,Project 007,project-007,000000000007,2411.50,0.00,-604.19,-30.82,1776.490566,1776.49
2026-02,Project 008,project-008,000000000008,2245.29,0.00,-461.81,-98.95,1684.527170,1684.53
2026-02,Project 009,project-009,000000000009,266.41,0.00,-60.94,-15.11,190.361802,190.36
2026-02,Project 010,project-010,000000000010,181.52,0.00,0.00,0.00,181.515410,181.52
2026-02,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690355,155.69
2026-02,Project 012,project-012,000000000012,21.23,0.00,0.00,0.00,21.229940,21.23
2026-02,Project 013,project-013,000000000013,5.19,0.00,0.00,0.00,5.186063,5.19
2026-02,Project 014,project-014,000000000014,2.98,0.00,0.00,0.00,2.983494,2.98
2026-02,Project 015,project-015,000000000015,0.63,0.00,0.00,0.00,0.626649,0.63
2026-02,Project 016,project-016,000000000016,0.24,0.00,0.00,0.00,0.240571,0.24
2026-02,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.161010,0.16
2026-02,Project 018,project-018,000000000018,0.09,0.00,0.00,0.00,0.086871,0.09
2026-02,Project 019,project-019,000000000019,0.03,0.00,0.00,0.00,0.025423,0.03
2026-02,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.021469,0.02
2026-02,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.014454,0.01
2026-02,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.008995,0.01
2026-02,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000028,0.00
2026-02,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.000019,0.00
2026-01,Project 001,project-001,000000000001,32122.90,0.00,-5916.61,-1035.88,25170.410034,25170.41
2026-01,Project 002,project-002,000000000002,9179.55,0.00,-1427.27,-237.43,7514.860457,7514.86
2026-01,Project 003,project-003,000000000003,5431.84,0.00,-1585.26,-233.32,3613.259429,3613.26
2026-01,Project 004,project-004,000000000004,5313.32,0.00,-1984.66,-79.81,3248.855665,3248.86
2026-01,Project 005,project-005,000000000005,4398.39,0.00,-1080.28,-205.91,3112.199127,3112.20
2026-01,Project 006,project-006,000000000006,3261.93,0.00,-1015.51,-97.29,2149.133243,2149.13
2026-01,Project 007,project-007,000000000007,2875.54,0.00,-795.30,-51.87,2028.366479,2028.37
2026-01,Project 008,project-008,000000000008,2411.82,0.00,-512.38,-113.13,1786.305113,1786.31
2026-01,Project 009,project-009,000000000009,290.59,0.00,-66.23,-16.98,207.374986,207.37
2026-01,Project 010,project-010,000000000010,184.57,0.00,0.00,0.00,184.565895,184.57
2026-01,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690027,155.69
2026-01,Project 025,,000000000025,43.74,0.00,0.00,0.00,43.744056,43.74
2026-01,Project 026,,000000000026,36.86,0.00,0.00,0.00,36.857069,36.86
2026-01,Project 012,project-012,000000000012,23.60,0.00,0.00,0.00,23.600321,23.60
2026-01,Project 013,project-013,000000000013,5.19,0.00,0.00,0.00,5.190065,5.19
2026-01,Project 014,project-014,000000000014,3.20,0.00,0.00,0.00,3.200174,3.20
2026-01,Project 015,project-015,000000000015,0.62,0.00,0.00,0.00,0.621017,0.62
2026-01,Project 016,project-016,000000000016,0.23,0.00,0.00,0.00,0.233406,0.23
2026-01,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.156481,0.16
2026-01,Project 018,project-018,000000000018,0.10,0.00,0.00,0.00,0.100433,0.10
2026-01,Project 019,project-019,000000000019,0.03,0.00,0.00,0.00,0.025515,0.03
2026-01,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.021174,0.02
2026-01,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.013886,0.01
2026-01,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.009503,0.01
2026-01,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000027,0.00
2026-01,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.000013,0.00
2025-12,Project 001,project-001,000000000001,32039.90,0.00,-6281.37,-728.73,25029.797629,25029.80
2025-12,Project 002,project-002,000000000002,9257.06,0.00,-1450.87,-175.32,7630.867530,7630.87
2025-12,Project 003,project-003,000000000003,5679.87,0.00,-1781.18,-171.28,3727.408069,3727.41
2025-12,Project 004,project-004,000000000004,5222.22,0.00,-1940.21,-46.32,3235.693283,3235.69
