Month,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,Compute Engine,6F81-5844-456A,37184.02,0.00,-12992.67,-1548.65,22642.697647,22642.70
2026-02,Cloud SQL,9662-B51E-5089,7184.52,0.00,0.00,0.00,7184.515599,7184.52
2026-02,Cloud Storage,95FF-2EF5-5EA1,7127.41,0.00,0.00,0.00,7127.406716,7127.41
2026-02,Networking,E505-1604-58F8,2992.52,0.00,0.00,-208.93,2783.592973,2783.59
2026-02,BigQuery,24E6-581D-38E5,1950.91,0.00,0.00,0.00,1950.911845,1950.91
2026-02,Cloud Logging,5490-F7B7-8DF6,1553.51,0.00,0.00,0.00,1553.509428,1553.51
2026-02,Cloud Memorystore for Redis,5AF5-2C11-D467,1338.17,0.00,0.00,0.00,1338.174568,1338.17
2026-02,Cloud Monitoring,58CD-E7C3-72CA,380.64,0.00,0.00,0.00,380.641233,380.64
2026-02,Artifact Registry,149C-F9EC-3994,334.35,0.00,0.00,0.00,334.350929,334.35
2026-02,BigQuery Storage API,DCC9-8DB9-673F,223.32,0.00,0.00,0.00,223.321360,223.32
2026-02,Kubernetes Engine,CCD8-9BF1-090E,223.98,0.00,0.00,-24.80,199.183283,199.18
2026-02,VM Manager,5E18-9A83-2867,106.18,0.00,0.00,0.00,106.181000,106.18
2026-02,Cloud DNS,FA26-5236-B8B5,64.54,0.00,0.00,0.00,64.542376,64.54
2026-02,Secret Manager,EE82-7A5E-871C,37.31,0.00,0.00,0.00,37.305680,37.31
2026-02,Cloud Pub/Sub,A1E8-BE35-7EBC,22.49,0.00,0.00,0.00,22.494312,22.49
2026-02,Cloud Key Management Service (KMS),EE2F-D110-890C,14.37,0.00,0.00,0.00,14.372810,14.37
2026-02,Cloud Run Functions,29E7-DA93-CA13,15.36,0.00,0.00,-2.33,13.035461,13.04
2026-02,App Engine,F17B-412E-CB64,11.99,0.00,0.00,0.00,11.992159,11.99
2026-02,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,6.76,0.00,0.00,0.00,6.760000,6.76
2026-02,Vertex AI,C7E2-9256-1C43,1.89,0.00,0.00,0.00,1.894612,1.89
2026-02,Cloud Scheduler,1F14-4801-0E16,0.24,0.00,0.00,0.00,0.239779,0.24
2026-01,Compute Engine,6F81-5844-456A,40875.63,0.00,-14383.49,-1804.16,24687.970404,24687.97
2026-01,Cloud SQL,9662-B51E-5089,7767.16,0.00,0.00,0.00,7767.156662,7767.16
2026-01,Cloud Storage,95FF-2EF5-5EA1,6928.35,0.00,0.00,0.00,6928.349150,6928.35
2026-01,Networking,E505-1604-58F8,3315.97,0.00,0.00,-240.22,3075.748578,3075.75
2026-01,BigQuery,24E6-581D-38E5,2121.62,0.00,0.00,0.00,2121.617954,2121.62
2026-01,Cloud Logging,5490-F7B7-8DF6,1633.74,0.00,0.00,0.00,1633.742512,1633.74
2026-01,Cloud Memorystore for Redis,5AF5-2C11-D467,1511.71,0.00,0.00,0.00,1511.707099,1511.71
2026-01,Cloud Monitoring,58CD-E7C3-72CA,429.56,0.00,0.00,0.00,429.563383,429.56
2026-01,Artifact Registry,149C-F9EC-3994,333.30,0.00,0.00,0.00,333.303758,333.30
2026-01,BigQuery Storage API,DCC9-8DB9-673F,251.21,0.00,0.00,0.00,251.208895,251.21
2026-01,Kubernetes Engine,CCD8-9BF1-090E,248.00,0.00,0.00,-24.80,223.198747,223.20
2026-01,VM Manager,5E18-9A83-2867,134.43,0.00,0.00,0.00,134.429000,134.43
2026-01,Cloud DNS,FA26-5236-B8B5,64.70,0.00,0.00,0.00,64.696184,64.70
2026-01,Secret Manager,EE82-7A5E-871C,39.86,0.00,0.00,0.00,39.863608,39.86
2026-01,Cloud Pub/Sub,A1E8-BE35-7EBC,26.33,0.00,0.00,0.00,26.328425,26.33
2026-01,Cloud Run Functions,29E7-DA93-CA13,16.80,0.00,0.00,-2.44,14.363208,14.36
2026-01,Cloud Key Management Service (KMS),EE2F-D110-890C,13.84,0.00,0.00,0.00,13.842026,13.84
2026-01,App Engine,F17B-412E-CB64,12.07,0.00,0.00,0.00,12.069640,12.07
2026-01,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,7.80,0.00,0.00,0.00,7.800000,7.80
2026-01,Vertex AI,C7E2-9256-1C43,7.50,0.00,0.00,0.00,7.503187,7.50
2026-01,Cloud Scheduler,1F14-4801-0E16,0.33,0.00,0.00,0.00,0.331177,0.33
2025-12,Compute Engine,6F81-5844-456A,41668.11,0.00,-15305.75,-1214.00,25148.355605,25148.36
2025-12,Cloud SQL,9662-B51E-5089,7519.66,0.00,0.00,0.00,7519.661175,7519.66
2025-12,Cloud Storage,95FF-2EF5-5EA1,7137.77,0.00,0.00,0.00,7137.774417,7137.77
2025-12,Networking,E505-1604-58F8,3302.10,0.00,0.00,-242.74,3059.353242,3059.35
2025-12,BigQuery,24E6-581D-38E5,2260.44,0.00,0.00,0.00,2260.443450,2260.44
2025-12,Cloud Logging,5490-F7B7-8DF6,1559.10,0.00,0.00,0.00,1559.098808,1559.10
2025-12,Cloud Memorystore for Redis,5AF5-2C11-D467,1516.02,0.00,0.00,0.00,1516.022122,1516.02
2025-12,Cloud Monitoring,58CD-E7C3-72CA,357.04,0.00,0.00,0.00,357.036055,357.04
2025-12,Artifact Registry,149C-F9EC-3994,331.93,0.00,0.00,0.00,331.930109,331.93
2025-12,BigQuery Storage API,DCC9-8DB9-673F,247.42,0.00,0.00,0.00,247.420748,247.42
2025-12,Kubernetes Engine,CCD8-9BF1-090E,248.00,0.00,0.00,-24.80,223.198702,223.20
2025-12,VM Manager,5E18-9A83-2867,136.44,0.00,0.00,0.00,136.442000,136.44
2025-12,Cloud DNS,FA26-5236-B8B5,58.82,0.00,0.00,0.00,58.815509,58.82
2025-12,Secret Manager,EE82-7A5E-871C,41.12,0.00,0.00,0.00,41.117810,41.12
2025-12,Cloud Pub/Sub,A1E8-BE35-7EBC,26.57,0.00,0.00,0.00,26.571041,26.57
2025-12,Cloud Run Functions,29E7-DA93-CA13,17.28,0.00,0.00,-2.52,14.754925,14.75
2025-12,Cloud Key Management Service (KMS),EE2F-D110-890C,13.29,0.00,0.00,0.00,13.285713,13.29
2025-12,App Engine,F17B-412E-CB64,12.13,0.00,0.00,0.00,12.132852,12.13
2025-12,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,7.02,0.00,0.00,0.00,7.020000,7.02
2025-12,Cloud Scheduler,1F14-4801-0E16,0.41,0.00,0.00,0.00,0.408599,0.41
2025-12,Vertex AI,C7E2-9256-1C43,0.06,0.00,0.00,0.00,0.056807,0.06
2025-11,Compute Engine,6F81-5844-456A,44610.99,0.00,-18577.78,-781.06,25252.153496,25252.15
2025-11,Cloud SQL,9662-B51E-5089,7305.24,0.00,0.00,0.00,7305.242880,7305.24
2025-11,Cloud Storage,95FF-2EF5-5EA1,7239.47,0.00,0.00,0.00,7239.465936,7239.47
2025-11,Networking,E505-1604-58F8,3252.12,0.00,0.00,-243.68,3008.431731,3008.43
2025-11,BigQuery,24E6-581D-38E5,2182.37,0.00,0.00,0.00,2182.368561,2182.37
2025-11,Cloud Memorystore for Redis,5AF5-2C11-D467,1469.16,0.00,0.00,0.00,1469.156044,1469.16
2025-11,Cloud Logging,5490-F7B7-8DF6,1442.93,0.00,0.00,0.00,1442.926873,1442.93
2025-11,Artifact Registry,149C-F9EC-3994,330.00,0.00,0.00,0.00,330.003029,330.00
2025-11,Cloud Monitoring,58CD-E7C3-72CA,314.41,0.00,0.00,0.00,314.405683,314.41
2025-11,Kubernetes Engine,CCD8-9BF1-090E,281.78,0.00,0.00,-24.80,256.984257,256.98
2025-11,BigQuery Storage API,DCC9-8DB9-673F,237.48,0.00,0.00,0.00,237.482348,237.48
2025-11,VM Manager,5E18-9A83-2867,134.85,0.00,0.00,0.00,134.854000,134.85
2025-11,Cloud DNS,FA26-5236-B8B5,55.00,0.00,0.00,0.00,55.003012,55.00
2025-11,Secret Manager,EE82-7A5E-871C,37.30,0.00,0.00,0.00,37.298526,37.30
2025-11,Cloud Pub/Sub,A1E8-BE35-7EBC,29.87,0.00,0.00,0.00,29.869102,29.87
2025-11,Vertex AI,C7E2-9256-1C43,19.96,0.00,0.00,0.00,19.958146,19.96
